GENUS_SPECIES,taxonomic_class
Guinardia flaccida,Coscinodiscophyceae
Guinardia striata,Coscinodiscophyceae
Mesoporos perforatus,Thecostraca
Meuniera membranacea,Bacillariophyceae
Navicula distans,Bacillariophyceae
Nitzschia closterium,Bacillariophyceae
Nitzschia sigmoidea,Bacillariophyceae
Odontella mobiliensis,Mediophyceae
Paralia sulcata,Coscinodiscophyceae
Pleurosigma ,Bacillariophyceae
Proboscia truncata,Coscinodiscophyceae
Pseudo-nitzschia delicatissima,Bacillariophyceae
Pseudo-nitzschia pungens,Bacillariophyceae
Roperia tesselata,Bacillariophyceae
Thalassionema nitzschioides,Fragilariophyceae
Thalassiosira rotula,Coscinodiscophyceae
Cerataulina pelagica,Mediophyceae
Ceratium fusus,Dinophyceae
Chaetoceros affinis,Coscinodiscophyceae
Chaetoceros debilis,Coscinodiscophyceae
Chaetoceros decipiens,Coscinodiscophyceae
Chaetoceros densus,Coscinodiscophyceae
Chaetoceros didymus,Coscinodiscophyceae
Chaetoceros laciniosus,Coscinodiscophyceae
Coccolithophoridae ,Coccolithophyceae
Cryptomonadales ,Cryptophyceae
Dinoflagellate ,Dinophyceae
Emiliania huxleyi,Coccolithophyceae
Eucampia zodiacus,Mediophyceae
Karenia mikimotoi,Dinophyceae
Pleurosigma planctonicum,Bacillariophyceae
Podosira stelligera,Coscinodiscophyceae
Psammodictyon panduriforme,Bacillariophyceae
Scripsiella trochoidea,Gastropoda
Thalassiosira eccentrica,Coscinodiscophyceae
Actinocyclus spec,Gastropoda
Actinoptychus senarius,Coscinodiscophyceae
Ceratium lineatum,Dinophyceae
Chaetoceros danicus,Coscinodiscophyceae
Chaetoceros peruvianus,Coscinodiscophyceae
Dictyocha speculum,Dictyochophyceae
Lauderia annulata,Coscinodiscophyceae
Leptocylindrus danicus,Coscinodiscophyceae
Leptocylindrus minimus,Coscinodiscophyceae
Lioloma delicatulum,Bacillariophyceae
Odontella sinensis,Mediophyceae
Pseudo-nitzschia seriata,Bacillariophyceae
Rhizosolenia styliformis,Coscinodiscophyceae
Chaetoceros simplex,Coscinodiscophyceae
Chaetoceros socialis,Coscinodiscophyceae
Coscinodiscus concinnus,Coscinodiscophyceae
Coscinodiscus granii,Coscinodiscophyceae
Ditylum brightwellii,Mediophyceae
Helicotheca tamesis,Mediophyceae
Thalassiosira punctigera,Coscinodiscophyceae
Coscinodiscus centralis,Coscinodiscophyceae
Fragilaria ,Fragilariophyceae
Proboscia alata,Coscinodiscophyceae
Skeletonema costatum,Coscinodiscophyceae
Diploneis cabro,Bacillariophyceae
Chaetoceros radicans,Coscinodiscophyceae
Corethron criophilum,Coscinodiscophyceae
Coscinodiscus wailesii,Coscinodiscophyceae
Dinophysis punctata,Dinophyceae
Phaeocystis poucheti,Coccolithophyceae
Rhizosolenia robusta,Coscinodiscophyceae
Coccolithus pelagicus,Coccolithophyceae
Gonyaulax digitale,Dinophyceae
Phaeocystis motile,Coccolithophyceae
Rhabdosphaera claviger,Insecta
Gonyaulax verior,Dinophyceae
Navicula spec,Bacillariophyceae
Prorocentrum micans,Dinophyceae
Rhizosolenia hebetata,Coscinodiscophyceae
Ceratium horridum,Dinophyceae
Chaetoceros compressus,Coscinodiscophyceae
Coronosphaera spec,Polypodiopsida
Dactyliosolen fragilissimus,Coscinodiscophyceae
Pyramimonas spec,Pyramimonadophyceae
Chaetoceros similis,Coscinodiscophyceae
Dinophysis acuminata,Dinophyceae
Gymnodinium spec,Dinophyceae
Amylax triacantha,Dinophyceae
Meringosphaera spec,Centroplasthelida
Prorocentrum minimum,Dinophyceae
Raphidophyceae ,Raphidophyceae
Thalassiosira anguste-lineata,Coscinodiscophyceae
Thalassiosira gravida,Coscinodiscophyceae
Thalassiosira grandiflora,Coscinodiscophyceae
Chaetoceros wighamii,Coscinodiscophyceae
Gonyaulax spinifera,Dinophyceae
Prorocentrum balticum,Dinophyceae
Ceratium furca,Dinophyceae
Ceratium tripos,Dinophyceae
Dinophysis acuta,Dinophyceae
Gymnodinium pygmaeum,Dinophyceae
Gymnodinium ochnacea,Dinophyceae
Leptocylindrus mediterraneus,Coscinodiscophyceae
Micranthodinium spec,Polypodiopsida
Crystallolithus hyalinus,Coccolithophyceae
Chaetoceros spec,Coscinodiscophyceae
Corymbellus aureus,Prymnesiophyceae
Dinobryon ,Chrysophyceae
Coscinodiscus radiatus,Coscinodiscophyceae
Detonula pumila,Coscinodiscophyceae
Chaetoceros curvisetus,Coscinodiscophyceae
Dictyocha fibula,Dictyochophyceae
Gonyaulax spec,Dinophyceae
Prorcentrum triestinum,Dinophyceae
Thalassiosira subtilis,Coscinodiscophyceae
Ceratium longipes,Dinophyceae
Chaetoceros lauderi,Coscinodiscophyceae
Dinophysis tripos,Dinophyceae
Acanthoica quattrospina,Coccolithophyceae
Thalassiothrix spec,Fragilariophyceae
Ceratium massiliense,Dinophyceae
Chaetoceros teres,Coscinodiscophyceae
Heterocapsa spec,Dinophyceae
Umbellosphaera spec,Polypodiopsida
Stephanopyxis palmeriana,Coscinodiscophyceae
Halosphaera spec,Pyramimonadophyceae
Tropidoneis ,Bacillariophyceae
Haslea wawrikae,Bacillariophyceae
Bacillaria paradoxa,Bacillariophyceae
Brockmanniella brockmannii,Mediophyceae
Pterosperma spec,Pyramimonadophyceae
Protoceratium reticulatum,Dinophyceae
Heterocapsa niei,Dinophyceae
Chaetoceros willei,Coscinodiscophyceae
Gymnodinium catenatum,Dinophyceae
Gymnodinium sp2,Dinophyceae
Ceratium macroceros,Dinophyceae
Lithodesmium undulatum,Mediophyceae
Nanoneis haslea,Bacillariophyceae
Delphineis spec,Fragilariophyceae
Coscinodiscus asteromphalus,Coscinodiscophyceae
Bacteriastrum furcatum,Coscinodiscophyceae
Gephyrocapsa spec,Polypodiopsida
Chaetoceros eibenii,Coscinodiscophyceae
Chaetoceros filiformis,Coscinodiscophyceae
Dinophysis sacculus,Dinophyceae
Coccolithophoridae indeterminata,Coccolithophyceae
Chaetoceros costatus,Coscinodiscophyceae
Biddulphia alternans,Mediophyceae
