GENUS_SPECIES,taxonomic_class
Boccardia basilaria,Polychaeta
Crepidula onyx,Gastropoda
Cylichna diegensis,Gastropoda
Harmothoe hirsuta,Polychaeta
Heptacarpus taylori,Malacostraca
Leptopecten latiauratus,Bivalvia
Maera similis,Malacostraca
Mytilus californianus,Bivalvia
Nicolea sp1,Polychaeta
Platidia hornii,Rhynchonellata
Rhamphidonta retifera,Bivalvia
Spio maciolekae,Polychaeta
Streblosoma sp121,Polychaeta
Aphelochaeta sp51,Polychaeta
Dorvillea schistomeringos,Polychaeta
Monticellina cryptica,Polychaeta
Streblosoma sp101,Polychaeta
Synaptotanais notabilis,Malacostraca
Typosyllis nipponica,Polychaeta
Caprella alaskana,Malacostraca
Cirriformia sp121,Polychaeta
Ceratonereis spa,Polychaeta
Hydroides bispinosa,Polychaeta
Schwartziella catesbyana,Gastropoda
Thala foveata,Gastropoda
Arabella nultidentata,Polychaeta
Calozodion ,Malacostraca
Hansenium stebbingi,Malacostraca
Rutiderma mollitum,Ostracoda
Tellina similis,Bivalvia
Americamysis bigelowi,Malacostraca
Haustorius ,Malacostraca
Cassidinidea lunifrons,Malacostraca
Lirophora latilirata,Bivalvia
Petrolisthes armatus,Malacostraca
Dero ,Clitellata
Dero digitata,Clitellata
Hydrobia truncata,Gastropoda
Cricotopus bicinctus,Insecta
Parachironomous directus,Insecta
Aeginellidae ,Malacostraca
Eohaustorius washingtonianus,Malacostraca
Uniramia ,Collembola
Lepidopa benedicti,Malacostraca
Littoridinops monroensis,Gastropoda
Travisia parva,Polychaeta
Campylaspis rubromaculata,Malacostraca
Diastylis sp10,Malacostraca
Mayerella limicola,Coriobacteriia
Pinnixa lunzi,Malacostraca
Rimapenaeus similis,Malacostraca
Olivella mutica,Gastropoda
Platyischnopidae ,Malacostraca
Barnea truncata,Bivalvia
Sarsonuphis hartmanae,Polychaeta
Robackia ,Insecta
Cadulus acus,Gastropoda
Nebaliidae ,Malacostraca
Thalenessa ,Polychaeta
Alpheopsis trispinosus,Malacostraca
Antalis pilsbryi,Scaphopoda
Mesanthura pulchra,Malacostraca
Ophionephthys limicola,Coriobacteriia
Pseudotanais ,Malacostraca
Skuphonura laticeps,Malacostraca
Finella dubia,Gastropoda
Laevicardium ,Bivalvia
Bivalvia sp1,Alphaproteobacteria
Caecidotea racovitzai,Malacostraca
Crangonyx floridanus,Malacostraca
Lampetra ayresi,Hyperoartia
Pseudodiaptomus forbesi,Hexanauplia
Ramellogammarus oregonensis,Malacostraca
Sialis ,Insecta
Amathia alternata,Gymnolaemata
Cancridae ,Malacostraca
Traskorchestia traskiana,Malacostraca
Dynamenella dianae,Malacostraca
Tubiluchus corallicola,Priapulimorpha
Ceradocus shoemakeri,Malacostraca
Epialtus dilatatus,Malacostraca
Macoma brevifrons,Bivalvia
Macromphalina adamsii,Gastropoda
Neritidae ,Gastropoda
Ocnus ,Holothuroidea
Rutidermatidae ,Ostracoda
Smaragdia viridis,Gastropoda
Eulalia sp71,Polychaeta
Eusirus columbianus,Malacostraca
Pseudomma truncatum,Malacostraca
Sagittidae ,Sagittoidea
Astarte esquimalti,Bivalvia
Spinosphaera pacifica,Gastropoda
Terebratulina unguicula,Rhynchonellata
Gyptis lobatus,Gastropoda
Metopella aporpis,Malacostraca
Notocirrus californiensis,Polychaeta
Rhepoxynius menziesi,Malacostraca
Maera spa,Malacostraca
Parastarte triquetra,Bivalvia
Tanaidae spa,Malacostraca
Decamastus spa,Polychaeta
Acanthohaustorius spa,Malacostraca
Pseudohaustorius spa,Alphaproteobacteria
Actiniaria spc,Anthozoa
Mulinia spa,Bivalvia
Clibanarius vittatus,Malacostraca
Exosphaeroma diminutum,Malacostraca
Thalassodrilides belli,Clitellata
Chironomus stigmaterus,Insecta
Musculista senhousia,Bivalvia
Apseudes intermedius,Malacostraca
Acmaeidae ,Gastropoda
Cleantis planicauda,Malacostraca
Cooperella subdiaphana,Bivalvia
Scoletoma sp1,Polychaeta
Sinocorophium heteroceratum,Malacostraca
Cirriformia sp122,Polychaeta
Protothaca laciniata,Bivalvia
Zaolutus actius,Anthozoa
Zygeupolia rubens,Pilidiophora
Caryocorbula porcella,Bivalvia
Rochefortia coani,Magnoliopsida
Apionsoma misakianum,Sipuncula
Crangon nigromaculata,Malacostraca
Drilonereis sp1,Polychaeta
Edwardsia californica,Anthozoa
Heteroserolis carinata,Insecta
Lysippe sp1,Polychaeta
Owenia collaris,Polychaeta
Pilargis sp2,Polychaeta
Rochefortia grippi,Magnoliopsida
Streblosoma crassibranchia,Polychaeta
Typosyllis hyperioni,Polychaeta
Vitrinella stearnsi,Gastropoda
Acteocina harpa,Gastropoda
Ampelisca microdentata,Malacostraca
Aphelochaeta sp125,Polychaeta
Dorvillea dorvillea,Polychaeta
Eranno lagunae,Polychaeta
Monticellina sp124,Polychaeta
Rudilemboides stenopropodus,Malacostraca
Vitrinella oldroydi,Gastropoda
Drilonereis nuda,Polychaeta
Chione californiensis,Magnoliopsida
Phyllodoce pettiboneae,Polychaeta
Scoletoma sp2,Polychaeta
Tubulanus cingulatus,Palaeonemertea
Encope aberrans,Echinoidea
Paralauterborniella nigrohalterale,Insecta
Turbonilla aequalis,Gastropoda
Malmgreniella ,Polychaeta
Busycon ,Gastropoda
Stictochironomus ,Insecta
Acanthohaustorius similis,Malacostraca
Drilonereis spa,Polychaeta
Dicrotendipes modestus,Insecta
Odostomia teres,Gastropoda
Unid epitoniidae,Gastropoda
Bittium varium,Gastropoda
Schizobranchia insignis,Polychaeta
Cossurella ,Polychaeta
Amphicteis glabra,Polychaeta
Spirontocaris arctuatus,Malacostraca
Ogyrides hayi,Malacostraca
Lumbrinereis tenuis,Copepoda
Brissopsis pacifica,Gastropoda
Chaetozone hartmanae,Polychaeta
Eunice americana,Polychaeta
Halianthella sp1,Anthozoa
Laevicardium substriatum,Bivalvia
Levinsenia multibranchiata,Polychaeta
Limatula saturna,Bivalvia
Listriolobus pelodes,Polychaeta
Polycirrus sp1,Polychaeta
Protocirrineris sp2,Polychaeta
Scolanthus sp1,Anthozoa
Siphonodentalium quadrifissatum,Scaphopoda
Spiophanes sp11,Polychaeta
Tellina sp2,Bivalvia
Terebellides sp2,Polychaeta
Typhlotanais crassus,Malacostraca
Ampelisca indentata,Malacostraca
Ampelisca milleri,Malacostraca
Ampelisca pacifica,Gastropoda
Aoroides sp1,Malacostraca
Bemlos concavus,Malacostraca
Campylaspis hartae,Malacostraca
Chaetozone hedgpethi,Polychaeta
Deilocerus decorus,Malacostraca
Diastylis crenellata,Malacostraca
Ilyarachna acarina,Arachnida
Mesolamprops bispinosus,Malacostraca
Phascolion sp1,Sipuncula
Procampylaspis caenosa,Malacostraca
Scoletoma tetraura,Polychaeta
Sthenelanella uniformis,Polychaeta
Subadyte mexicana,Monogenea
Tanaella propinquus,Malacostraca
Urothoe varvarini,Malacostraca
Alvania rosana,Gastropoda
Ampelisca romigi,Malacostraca
Ampharetidae sp121,Polychaeta
Amphichondrius granulatus,Ophiuroidea
Amphissa undata,Gastropoda
Athenaria ,Anthozoa
Chaetoderma marinelli,Caudofoveata
Chone sp3,Polychaeta
Cryptonemertes actinophila,Enopla
Eyakia robusta,Malacostraca
Falcidens longus,Caudofoveata
Isocirrus longiceps,Polychaeta
Kurtzia arteaga,Gastropoda
Leucon falcicosta,Malacostraca
Limnactiniidae sp1,Anthozoa
Magelona sp2,Polychaeta
Phisidia sanctaemariae,Polychaeta
Phyllochaetopterus limicolus,Polychaeta
Pleurobranchaea californica,Gastropoda
Schistocomus sp1,Polychaeta
Siphonolabrum californiensis,Malacostraca
Tanaopsis cadieni,Malacostraca
Terebellides sp1,Polychaeta
Acoetes pacifica,Gastropoda
Amphiporus bioculatus,Enopla
Arcteonais lomondi,Clitellata
Gillia altilis,Gastropoda
Laevapex fuscus,Gastropoda
Nanocladius ,Insecta
Bezzia ,Insecta
Corbicula manilensis,Bivalvia
Pisidium compressum,Bivalvia
Placobdella papillifera,Clitellata
Hartmanodes nyei,Malacostraca
Fluminicola virens,Gastropoda
Chauliopleona dentata,Malacostraca
Deflexilodes norvegicus,Malacostraca
Monoculodes sp7,Malacostraca
Megalomma intermedium,Polychaeta
Dulzura sp1,Malacostraca
Grubeosyllis mediodentata,Polychaeta
Microcharon sp1,Malacostraca
Scyphoproctus djiboutiensis,Polychaeta
Sphaerosyllis riseri,Polychaeta
Callianassa sp1,Malacostraca
Cryptoniscus isopod,Malacostraca
Mandibulophoxus hawaiiloa,Malacostraca
Siliqua alta,Bivalvia
Travisia japonica,Insecta
Bivalvia genusc,Bivalvia
Chaetozone spc,Polychaeta
Corbula barrattiana,Bivalvia
Actiniaria spb,Anthozoa
Archiannelida spa,Alphaproteobacteria
Oecetis inconspicua,Insecta
Axarus ,Insecta
Lirceus lineatus,Malacostraca
Sididae ,Branchiopoda
Desserobdella phalera,Clitellata
Robackia claviger,Insecta
Sinocorophium alienense,Malacostraca
Rhepoxynius homocuspidatus,Malacostraca
Anonyx liljeborgii,Malacostraca
Praxillella sp1,Polychaeta
Polypedilum trigonus,Insecta
Colomastix halichondriae,Malacostraca
Dentalium spc,Scaphopoda
Gibberula lavalleeana,Gastropoda
Polycera hummi,Gastropoda
Amaea retifera,Gastropoda
Dulichiella spa,Malacostraca
Fimbriosthenelais ,Polychaeta
Oenonidae ,Polychaeta
Pagurapseudes largoensis,Malacostraca
Brachidontes domingensis,Bivalvia
Leptosynapta multigranula,Holothuroidea
Pseudophilomedes ambon,Ostracoda
Teinostoma spb,Gastropoda
Typosyllis sp17,Polychaeta
Nuttallia nuttallii,Bivalvia
Arrhis luthkei,Malacostraca
Aberrantidae ,Polychaeta
Mayerella acanthopoda,Malacostraca
Megalomma pigmentum,Polychaeta
Nassarius tiarula,Gastropoda
Pseudofabriciola californica,Polychaeta
Quietula y-cauda,Actinopteri
Scoletoma sp3,Polychaeta
Acteocina inculta,Gastropoda
Brania heterocirra,Polychaeta
Diplocirrus sp121,Polychaeta
Eteone brigitteae,Polychaeta
Scolanthus sp2,Anthozoa
Scoletoma erecta,Polychaeta
Scyphoproctus oculatus,Polychaeta
Solen rostriformis,Bivalvia
Heteromysis odontops,Malacostraca
Naushonia macginitiei,Malacostraca
Paradexamine sp121,Malacostraca
Podocerus fulanus,Malacostraca
Alpheus californiensis,Malacostraca
Anoplodactylus erectus,Pycnogonida
Aplousobranchiata ,Ascidiacea
Asthenothaerus diegensis,Bivalvia
Planoceridae ,Rhabditophora
Protohyale frequens,Malacostraca
Stylochidae ,Rhabditophora
Zoobotryon pellucida,Gymnolaemata
Notomastus magnus,Polychaeta
Corymorpha bigelowi,Hydrozoa
Ilypnus gilberti,Actinopteri
Corymorpha palma,Hydrozoa
Pherusa negligens,Polychaeta
Schmittius politus,Magnoliopsida
Asteropella slatteryi,Ostracoda
Porichthys myriaster,Actinopteri
Vargula tsujii,Ostracoda
Amphiodia digitata,Ophiuroidea
Cyathodonta pedroana,Bivalvia
Heterospio catalinensis,Polychaeta
Laonice pugettensis,Polychaeta
Lumbrineris japonica,Polychaeta
Neverita reclusiana,Gastropoda
Columbiaemysis ignota,Malacostraca
Mysidopsis intii,Malacostraca
Sige sp1,Polychaeta
Lucinisca nuttalli,Bivalvia
Gibberosus myersi,Malacostraca
Cerapus cudjoe,Malacostraca
Pinnixa cylindrica,Malacostraca
Nannosquilla grayi,Gastropoda
Amaroucium stellatum,Ascidiacea
Hexagenia ,Insecta
Limnodrilus claparedianus,Clitellata
Fargoa bartschi,Gastropoda
Nais pardalis,Clitellata
Cirrophorus spa,Polychaeta
Dorvillea longicornis,Polychaeta
Notoacmaea depicta,Gastropoda
Paranthura elegans,Malacostraca
Pherusa capulata,Polychaeta
Tryonia imitator,Gastropoda
Eobrolgus ,Malacostraca
Filograna ,Polychaeta
Linopherus sp2,Polychaeta
Metamysidopsis ,Malacostraca
Rhepoxynius sp1,Malacostraca
Ogyrides sp1,Malacostraca
Streptosyllis varians,Polychaeta
Pseudozeuxidae ,Malacostraca
Astartidae ,Bivalvia
Paraleucon ,Malacostraca
Tellina gouldii,Bivalvia
Antalis ceratum,Scaphopoda
Cirsotrema dalli,Gastropoda
Podocerus kleidus,Malacostraca
Vexillum ,Gastropoda
Ericthonius fasciatus,Malacostraca
Photis dentata,Malacostraca
Limnodrilus ,Clitellata
Clinotanypus pinguis,Insecta
Curculionidae ,Insecta
Aulodrilus pluriseta,Clitellata
Dero obtusa,Clitellata
Neumania ,Arachnida
Amnicola ,Gastropoda
Euzonus mucronata,Polychaeta
Austinixa chacei,Malacostraca
Bowmaniella dissimilis,Malacostraca
Littorophiloscia richardsonae,Malacostraca
Eteone pigmentata,Polychaeta
Stylochoplana longipenis,Rhabditophora
Stylochus franciscanus,Rhabditophora
Timarete luxuriosa,Polychaeta
Corophioidea ,Malacostraca
Polycladida sp18,Rhabditophora
Tagelus subteres,Bivalvia
Ampithoe plumulosa,Malacostraca
Strigilla ,Bivalvia
Pyramidella ,Gastropoda
Leitoscoloplos acutus,Polychaeta
Acari ,Arachnida
Capitella sp5,Polychaeta
Synidotea sp5,Malacostraca
Ovalipes ,Malacostraca
Palaemonetes ,Malacostraca
Dinophilus ,Polychaeta
Tellina mera,Bivalvia
Apseudes propinquus,Malacostraca
Crassispira leucocyma,Gastropoda
Ophiostigma ,Ophiuroidea
Paracypridina floridaensis,Ostracoda
Peristichia agria,Insecta
Prunum avenaceum,Gastropoda
Cupuladria ,Gymnolaemata
Glycymerididae ,Bivalvia
Araneae ,Arachnida
Mellita ,Echinoidea
Alpheus leptochirus,Insecta
Haminoea elegans,Gastropoda
Lucinoma filosum,Bivalvia
Melanella intermedia,Gastropoda
Litocorsa ,Polychaeta
Petrolisthes politus,Malacostraca
Chaetoderma robusta,Caudofoveata
Rangia flexuosa,Bivalvia
Asellus spa,Malacostraca
Crustipellis tribranchiata,Clitellata
Dero lodeni,Clitellata
Gastropoda spb,Gastropoda
Helobdella stagnalis,Clitellata
Lirceus spa,Malacostraca
Demonax micropthalmus,Polychaeta
Eochelidium scamit,Malacostraca
Megamoera dentata,Malacostraca
Sabaco elongatus,Polychaeta
Capitella sp7,Polychaeta
Idoteidae ,Malacostraca
Ptychatractus ligatus,Gastropoda
Scoletoma fragilis,Polychaeta
Strongylocentrotus droebachien,Echinoidea
Casco bigelowi,Malacostraca
Cricotopus/orthocladius group,Insecta
Cricotopus orthocladius,Insecta
Ericthonius spa,Malacostraca
Kalliapseudes bahanensis,Malacostraca
Exogone atlantica,Polychaeta
Corambidae ,Gastropoda
Rimapenaeus ,Malacostraca
Cerithium atratum,Gastropoda
Anatina anatina,Bivalvia
Lirobittium attenuatum,Gastropoda
Chone cincta,Polychaeta
Hyalospongia ,Demospongiae
Idanthyrsus ornamentatus,Polychaeta
Laqueus californianus,Rhynchonellata
Microcerberidae ,Malacostraca
Pugettia gracilis,Malacostraca
Trophonopsis tenuisculptus,Gastropoda
Syrrhoe longifrons,Malacostraca
Rutiderma judayi,Ostracoda
Hartmanodes hartmanae,Malacostraca
Oxyurostylis pacifica,Gastropoda
Acuminodeutopus heteruropus,Malacostraca
Hemiproto sp1,Malacostraca
Iselica ovoidea,Gastropoda
Bivalvia genusb,Bivalvia
Bivalvia genuse,Bivalvia
Caecum spa,Gastropoda
Ephemeridae ,Insecta
Microchironomus ,Insecta
Stephensoniana trivandrana,Clitellata
Telmatodrilus vejdovskyi,Clitellata
Epitonium humphreysii,Gastropoda
Erichsonella ,Malacostraca
Stenothoe valida,Malacostraca
Cerithium muscarum,Gastropoda
Magelona spa,Polychaeta
Unid polychaeta,Polychaeta
Unid porcellanidae,Malacostraca
Polypedilum tritum,Insecta
Lumbrineris sp3,Polychaeta
Nassarius tegula,Gastropoda
Pista alata,Polychaeta
Thalamoporella californica,Gymnolaemata
Zeuxo normani,Malacostraca
Bulla gouldiana,Gastropoda
Lumbrineris erecta,Polychaeta
Diplocirrus sp1,Polychaeta
Fabriciinae ,Polychaeta
Scolelepis yamaguchii,Polychaeta
Dorvillea rubra,Polychaeta
Erichsonella crenulata,Malacostraca
Tanais ,Malacostraca
Leptoplanidae sp1,Rhabditophora
Diastylis abbreviata,Chromadorea
Chiridotea caeca,Malacostraca
Pollia tincta,Gastropoda
Solecurtidae ,Bivalvia
Palaemonetes intermedius,Malacostraca
Havelockia scabra,Holothuroidea
Chiridotea nigrescens,Malacostraca
Odonata ,Insecta
Polypedilum convictum,Insecta
Perolepis ,Polychaeta
Myodocopida ,Ostracoda
Parvilucina ,Bivalvia
Corixidae ,Insecta
Mytilopsis ,Jungermanniopsida
Polydora cirrosa,Magnoliopsida
Cirriformia sp51,Polychaeta
Marphysa angelensis,Polychaeta
Orthocladius ,Insecta
Paratanytarsus ,Insecta
Psectrocladius ,Insecta
Chaetozone spd,Polychaeta
Cochliolepis parasitica,Clitellata
Polyodontes lupinus,Magnoliopsida
Turbonilla spi,Gastropoda
Brachycercus ,Insecta
Endochironomus ,Insecta
Goniobasis ,Gastropoda
Hydroptila ,Insecta
Hydroptilidae ,Insecta
Musculium transversum,Bivalvia
Valvata sincera,Gastropoda
Parahaustorius ,Malacostraca
Codakia pectinella,Bivalvia
Adrana tellinoides,Bivalvia
Microphthalmus hartmanae,Polychaeta
Ephesiella minuta,Polychaeta
Tharyx kirkegaardi,Polychaeta
Humilaria kennerlyi,Bivalvia
Americhelidium variabilum,Malacostraca
Polinices spa,Gastropoda
Rheotanytarsus pellucidus,Insecta
Elliptio ,Bivalvia
Optioservus ,Insecta
Paratendipes basidens,Insecta
Finella ,Gastropoda
Conus floridensis,Gastropoda
Sayella fusca,Aves
Arhynchite californicus,Polychaeta
Brada pluribranchiata,Polychaeta
Eclysippe trilobata,Polychaeta
Fauveliopsis sp121,Polychaeta
Ilyarachna profunda,Malacostraca
Leitoscoloplos sp1,Polychaeta
Microglyphis brevicula,Gastropoda
Nuculana conceptionis,Bivalvia
Ophelina sp122,Polychaeta
Polyschides tolmiei,Scaphopoda
Samytha californiensis,Polychaeta
Spiophanes fimbriata,Polychaeta
Amphioplus strongyloplax,Ophiuroidea
Amphissa bicolor,Gastropoda
Dacrydium pacificum,Bivalvia
Halicoides synopiae,Malacostraca
Kinbergonuphis vexillaria,Polychaeta
Myriochele striolata,Gastropoda
Tritella tenuissima,Malacostraca
Bathymedon vulpeculus,Malacostraca
Compressidens stearnsii,Scaphopoda
Limifossor fratula,Caudofoveata
Monoculodes latissimanus,Malacostraca
Allocentrotus fragilis,Echinoidea
Amphioplus sp51,Ophiuroidea
Byblis bathyalis,Malacostraca
Cardiomya planetica,Bivalvia
Cephalophoxoides homilis,Malacostraca
Monoculodes glyconicus,Malacostraca
Nereiphylla sp2,Polychaeta
Leucosia sp1,Malacostraca
Parenterodrilus taeniformis,Polychaeta
Ampithoe sp1,Malacostraca
Glycinde picta,Polychaeta
Lamprops sarsi,Malacostraca
Orbinia norvegica,Polychaeta
Pseudopythina compressa,Bivalvia
Pandora wardiana,Bivalvia
Cistenides granulata,Polychaeta
Crangon dalli,Malacostraca
Yoldia myalis,Bivalvia
Chaetozone senticosa,Polychaeta
Nebalia hessleri,Malacostraca
Entodesma navicula,Bivalvia
Byblis veleronis,Malacostraca
Campylaspis biplicata,Malacostraca
Onuphis sp1,Polychaeta
Wecomedon wecomus,Malacostraca
Bruzelia tuberculata,Malacostraca
Dentinephtys glabra,Polychaeta
Laonice nuchala,Polychaeta
Pleurogonium californiense,Malacostraca
Rhepoxynius bicuspidatus,Insecta
Monoculodes spb,Malacostraca
Clinotanypus ,Insecta
Minuspio ,Polychaeta
Cymatium ,Gastropoda
Neoamphitrite edwardsi,Polychaeta
Pharidae ,Bivalvia
Cirrophorus ilvana,Polychaeta
Haminoea vesicula,Gastropoda
Pagurus granosimanus,Malacostraca
Betaeus ensenadensis,Malacostraca
Saxidomus nuttalli,Bivalvia
Betaeus longidactylus,Malacostraca
Clevelandia ios,Actinopteri
Eurylepta aurantiaca,Rhabditophora
Heteromastus sp55,Polychaeta
Hippomedon zetesimus,Malacostraca
Paramicrodeutopus schmitti,Malacostraca
Astyris permodesta,Gastropoda
Byblis barbarensis,Malacostraca
Dodecamastus mariaensis,Polychaeta
Furcillidens incrassatus,Insecta
Harpiniopsis epistomata,Malacostraca
Listriella albina,Malacostraca
Paralysippe annectens,Polychaeta
Rochefortia sp51,Magnoliopsida
Orbinia swani,Polychaeta
Ophioglycera gigantea,Polychaeta
Stereobalanus canadensis,Enteropneusta
Clibanarius spa,Malacostraca
Paracladopelma ,Insecta
Dreissena polymorpha,Bivalvia
Listriella diffusa,Malacostraca
Amygdalum papyria,Bivalvia
Axinodon redondoensis,Bivalvia
Chaetoderma hancocki,Caudofoveata
Falcidens hartmanae,Caudofoveata
Galathowenia pygidialis,Polychaeta
Maldane californiensis,Polychaeta
Metopa dawsoni,Malacostraca
Neilonella ritteri,Bivalvia
Adontorhina lynnae,Bivalvia
Aeginellidae sp1,Malacostraca
Bathymedon kassites,Malacostraca
Bathymedon roquedo,Malacostraca
Lumbrineris sp5,Polychaeta
Nassarius insculptus,Gastropoda
Nuculana leonina,Bivalvia
Pacifoculodes barnardi,Malacostraca
Ampelisca furcigera,Malacostraca
Araphura cuspirostris,Malacostraca
Fabrisabella sp1,Polychaeta
Foxiphalus cognatus,Malacostraca
Laticorophium baconi,Malacostraca
Leitoscoloplos panamensis,Polychaeta
Lytechinus pictus,Echinoidea
Rhepoxynius lucubrans,Malacostraca
Aoroides secundus,Malacostraca
Elasmopus bampo,Malacostraca
Ophiuroconis bispinosa,Ophiuroidea
Postasterope barnesi,Ostracoda
Syllides mikeli,Polychaeta
Mactrotoma californica,Bivalvia
Notomastus sp55,Polychaeta
Petricola hertzana,Bivalvia
Exogone sp1,Polychaeta
Rhabdocoela sp18,Rhabditophora
Monocorophium uenoi,Malacostraca
Chone sp2,Polychaeta
Dendraster terminalis,Echinoidea
Diastylis californica,Malacostraca
Edotia sublittoralis,Malacostraca
Eurydice caudata,Amphibia
Glottidia albida,Lingulata
Lovenia cordiformis,Echinoidea
Lumbrinerides platypygos,Polychaeta
Pentactinia californica,Anthozoa
Pettiboneia sanmatiensis,Polychaeta
Rhepoxynius heterocuspidatus,Malacostraca
Agnezia septentrionalis,Ascidiacea
Cuspidaria parapodema,Magnoliopsida
Cyclopecten catalinensis,Bivalvia
Lysippe sp2,Polychaeta
Pionosyllis sp122,Polychaeta
Saxicavella pacifica,Gastropoda
Xenoleberis californica,Ostracoda
Amygdalum politum,Bivalvia
Anemonactis sp1,Anthozoa
Aphelochaeta sp18,Polychaeta
Balcis micans,Gastropoda
Caecum crebricinctum,Gastropoda
Cumella californica,Malacostraca
